LATITUDE,LONGITUDE
40.7565574,-73.9744374
40.875648,-73.8872899
40.8771397,-73.8752676
40.7291123,-74.0106725
40.5985519,-73.9973389
40.60663,-73.7488879
40.6480223,-73.9521905
40.7589746,-73.9189996
40.7067235,-74.0067808
40.7527231,-73.9967877
40.6876631,-73.8505618
40.7199104,-73.8090389
40.6904484,-73.9594296
40.7265374,-73.9543927
40.7572565,-73.9858217
40.7749592,-73.9588943
40.7095562,-74.0064348
40.7348371,-73.983113
40.6461445,-73.9034359
40.6830374,-73.9260937
40.7183391,-73.9159213
40.6404169,-73.9829207
40.738702,-73.8709403
40.7629537,-73.8319573
40.7701196,-73.9574027
40.7544905,-74.0067388
40.5946524,-73.9672223
40.6545182,-73.8822143
40.6230139,-73.9767508
40.8461287,-73.8447047
40.6126918,-73.9826576
40.7066735,-73.9544243
40.8422672,-73.8847479
40.5494567,-74.2226035
40.7462368,-73.898942
40.6960511,-73.9850846
40.719458,-73.98193
40.576883,-73.952875
40.6749071,-73.9138454
40.7645422,-73.7696382
40.7843547,-73.9811649
40.6185937,-73.9424176
40.577955,-73.9567585
40.8486931,-73.9032792
40.6307461,-73.977166
40.7496522,-73.8852401
40.7324473,-73.991279
40.7116098,-73.9575338
40.652715,-73.8905965
40.8056394,-73.934392
40.7514416,-73.9760491
40.7281063,-73.978998
40.5798042,-73.9718339
40.6815047,-73.9742282
40.7045646,-73.9106548
40.747925,-73.973607
40.576827,-73.9650963
40.6670166,-73.9312914
40.6850638,-73.8811327
40.7146779,-74.005887
40.688698,-73.9420758
40.690908,-73.9554123
40.8245097,-73.9518505
40.8843001,-73.9033106
40.7591997,-73.9846193
40.7327574,-73.9900269
40.7163385,-73.9638509
40.6070191,-73.9628837
40.6070191,-73.9628837
40.6896895,-73.9923627
40.8097767,-73.8890776
40.672256,-73.9804179
40.6596509,-73.7738282
40.6656136,-73.7356712
40.8635725,-73.9260124
40.6396243,-73.9547692
40.725908,-73.9353978
40.7197623,-73.8436788
40.7189849,-73.8372809
40.6203359,-74.0181512
40.637108,-73.8933748
40.7497883,-73.9877686
40.7101767,-74.0011362
40.7590602,-73.9726136
40.7422296,-73.9283702
40.8692309,-73.8960361
40.8221187,-73.8968793
40.6006387,-73.9399663
40.7738078,-73.8928888
40.7649043,-73.9981373
40.8126915,-73.9531271
40.6879384,-73.7896266
40.6786763,-73.9821898
40.7163954,-73.886661
40.7054596,-73.7948949
40.734126,-73.9009125
40.81512,-73.9587033
40.6902407,-73.9481865
40.6315031,-74.0029507
40.7682283,-73.9291364
40.6579423,-73.9077366
40.7237466,-74.0061151
40.7029113,-73.7808694
40.7224015,-73.9916483
40.8151131,-73.9550003
40.7533681,-73.974648
40.7065744,-73.9228648
40.644042,-73.8775195
40.678723,-73.9529869
40.6556338,-73.9598617
40.8247084,-73.9155159
40.7229692,-73.8444758
40.6921563,-73.9852802
